Date,000001.SS,HSI,^AORD,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^IXIC,^JKSE,^KS11,^MERV,^N225,^NSEI,^STI,^TWII
2024-12-10,3422.660888671875,,8650.0,81510.046875,128228.0,44247.828125,7394.77978515625,8280.400390625,20329.16015625,6034.91015625,19687.240234375,7453.287109375,2417.840087890625,2201246.0,39367.578125,24610.05078125,3813.550048828125,23125.080078125
2024-12-11,3432.489990234375,,8610.400390625,81526.140625,129593.0,44148.55859375,7423.39990234375,8301.599609375,20399.16015625,6084.18994140625,20034.890625,7464.751953125,2442.510009765625,2291149.0,39372.23046875,24641.80078125,3792.820068359375,22903.630859375
2024-12-12,3461.5,,8586.900390625,81289.9609375,126042.0,43914.12109375,7420.93994140625,8311.7998046875,20426.26953125,6051.25,19902.83984375,7394.23779296875,2482.1201171875,2304090.0,39849.140625,24548.69921875,3809.27001953125,23046.80078125
2024-12-13,3391.8779296875,,8550.2998046875,82133.1171875,124612.0,43828.05859375,7409.56982421875,8300.2998046875,20405.919921875,6051.08984375,19926.720703125,7324.7890625,2494.4599609375,2370662.0,39470.44140625,24768.30078125,3810.35009765625,23020.48046875
2024-12-16,3386.3310546875,,8494.0,81748.5703125,123560.0,43717.48046875,7357.080078125,8262.099609375,20313.810546875,6074.080078125,20173.890625,7258.630859375,2488.969970703125,2543202.0,39457.48828125,24668.25,3821.030029296875,23039.900390625
2024-12-17,3361.485107421875,,8558.599609375,80684.453125,124698.0,43449.8984375,7365.7001953125,8195.2001953125,20246.369140625,6050.60986328125,20109.060546875,7157.73193359375,2456.81005859375,2592201.0,39364.6796875,24336.0,3799.929931640625,23018.009765625
2024-12-18,3382.2080078125,,8558.599609375,80182.203125,120772.0,42326.87109375,7384.6201171875,8199.099609375,20242.5703125,5872.16015625,19392.689453125,7107.875,2484.429931640625,2521017.0,39081.7109375,24198.849609375,3779.6201171875,23168.669921875
2024-12-19,3370.032958984375,,8415.0,79218.046875,121188.0,42342.23828125,7294.3701171875,8105.2998046875,19969.859375,5867.080078125,19372.76953125,6977.23779296875,2435.929931640625,2419894.0,38813.578125,23951.69921875,3762.8798828125,22932.25
2024-12-20,3368.069091796875,,8316.7001953125,78041.59375,122102.0,42840.26171875,7274.47998046875,8084.60009765625,19884.75,5930.85009765625,19572.599609375,6983.865234375,2404.14990234375,2467562.0,38701.8984375,23587.5,3719.929931640625,22510.25
2024-12-23,3351.257080078125,,8452.7001953125,78540.171875,120767.0,42906.94921875,7272.31982421875,8102.7001953125,19848.76953125,5974.06982421875,19764.880859375,7096.44482421875,2442.010009765625,2501153.0,39161.33984375,23753.44921875,3752.330078125,23104.5390625
2024-12-24,3393.528076171875,,8471.5,78472.8671875,,43297.03125,7282.68994140625,8137.0,,6040.0400390625,20031.130859375,7065.74609375,2440.52001953125,2551020.0,39036.8515625,23727.650390625,3769.550048828125,23120.240234375
2024-12-25,3393.35009765625,,,,,,,,,,,,,,39130.4296875,,,23220.130859375
2024-12-26,3398.076904296875,,,78472.4765625,121078.0,43325.80078125,,,,6037.58984375,20020.359375,,2429.669921875,2597389.0,39568.05859375,23750.19921875,3761.449951171875,23246.939453125
